Barcode,Item Description,Line Numbers,Dimension Check,CNC or Shopwork,Deburr or Deglue,Bag and Label,,Legend:
40000yyy012x,Far Side Guide Rails (Long),"12,48",x,x,x,x,,x : requires qc process
40000yyy019x,Readout Side Guide Rails (Short),"19,55",x,x,x,x,,- : does not require qc process
40000yyy002x,CABLE CONTAINMENT BRACKET,2,x,-,-,x,,
40000yyy003x,M5x52mm Threaded Vented Hex Standoffs,3,x,x,-,x,,
40000yyy013x,Stainless Steel(SS) Mount Angles,"13,20,49,56",x,-,-,x,,
40000yyy028x,Stainless Steel Mount Plates,"28,64",x,x,x,x,,
40000yyy027x,G10 Mount Plates R2,"27,63",x,x,x,x,,
40000yyy036x,Small TEFZEL Cable Ties,"36,37,71,72",-,-,-,x,,
40000yyy038x,Large TEFZEL Cable Ties,"38,73",-,-,-,x,,
40000yyy041x,Stainless Steel Bulkhead Plate,41,-,-,x,x,,
40000yyy042x,G10 Bulkhead Plate,42,-,-,,x,,
40000yyy043x,M4x45mm Threaded Vented Hex Standoff ,43,x,x,x,x,,
40000yyy009x,PTFE Cable Bushing (Teflon Wire Guide),9,x,x,x,x,,
40000yyy030x,Cable Housing Shim,"30,66",-,-,-,x,,
40000yyy031x,Cable Housing Constraint,"31,67",-,x,-,x,,
40000yyy032x,Cable Stress Relief Yoke,"32,68",-,x,-,x,,
40000yyy033x,Cable Stress Relief Yoke - Temperature Sensor Configuration,33,-,x,-,x,,
40000yyy014x,M3-0.50x10mm Silver Plated Flat Socket Head Captive Screw (FSHCS SP),"14,21,50,57",-,-,-,x,,
40000yyy015x,3mm Nord Lock Washer Pairs Stainless Steel(M3 NL),"15,21,51,58",-,-,x,x,,
40000yyy016x,M3-0.50 Hex Nuts,"16,22,52,59",-,-,-,x,,
40000yyy044x,M4-0.70x12mm Silver Plated Socket Head Captive Screw (SHCS SP),44,-,-,-,x,,
40000yyy045x,4mm Nord Lock Washer Pair Stainless Large OD (M4 NL),45,-,-,x,x,,
40000yyy004x,M5-0.80x8mm Silver Plated Socket Head Captive Screw (SHCS SP),4,-,-,-,x,,
40000yyy017x,M5-0.80x10mm Silver Plated Socket Head Captive Screw (SHCS SP),"17,53",-,-,-,x,,
40000yyy046x,M5-0.80x12mm Silver Plated Socket Head Captive Screw (SHCS SP),46,-,-,-,x,,
40000yyy024x,M5-0.80x16mm Silver Plated Socket Head Captive Screw (SHCS SP),"24,60",-,-,-,x,,
40000yyy034x,M5-0.80x22mm Stainless Steel Button Head Captive Screw (BHCS SS),"34,69",-,-,-,x,,
40000yyy005x,5mm Nord Lock Washer Pair Stainless Large OD (M5 NL),"5,18,25,47,54,61",-,-,x,x,,
40000yyy001x,M6-1.00x8mm Silver Plated Button Head Captive Screw (BHCS SP)*,1,-,-,-,x,,
40000yyy006x,M6-1.00x10mm Silver Plated Button Head Captive Screw (BHCS SP),6,-,-,-,x,,
40000yyy029x,M6-1.00x10mm Silver Plated Flat Socket Head Captive Screw (FSHCS SP),"29,65",-,-,-,x,,
40000yyy035x,5mm Stainless Steel serrated safety washers (M5 Schnorr washers),"35,70",-,-,-,x,,
40000yyy007x,6mm Stainless Steel serrated safety washers (M6 Schnorr washers),"7,39,74",-,-,-,x,,